0.0,0.0,0.0
0.0,0.0,0.0
255.0,255.0,0.0
177.0,137.0,75.0
0.0,255.0,100.0
200.0,200.0,255.0
200.0,200.0,255.0
255.0,0.0,0.0
200.0,200.0,255.0
0.0,255.0,100.0
0.0,255.0,100.0
89.0,145.0,197.0
148.0,183.0,81.0
142.0,53.0,2.0
233.0,165.0,159.0
226.0,250.0,145.0
30.0,181.0,237.0
89.0,145.0,197.0
255.0,255.0,255.0
89.0,145.0,197.0
255.0,255.0,255.0
168.0,235.0,252.0
168.0,235.0,252.0
201.0,65.0,183.0
237.0,129.0,110.0
229.0,215.0,30.0
229.0,215.0,30.0
0.0,255.0,100.0
229.0,215.0,30.0
107.0,173.0,44.0
107.0,173.0,44.0
107.0,173.0,44.0
248.0,119.0,238.0
248.0,119.0,238.0
