0
0
691,497,737,542
691,542,737,569
749,478,799,599
749,374,799,455
749,327,799,374
749,262,799,327
749,193,799,262
679,16,780,80
205,73,631,119
605,453,716,479
604,414,717,438
603,376,718,399
602,339,718,361
602,309,718,329
639,245,718,286
602,245,628,286
601,190,717,217
536,191,569,361
471,191,506,361
405,191,441,480
338,191,375,480
271,192,308,480
205,192,241,480
138,192,175,480
72,192,108,480
13,522,56,589
1,193,38,476
1,3,38,193
1,-1,176,35
79,64,147,167
472,394,570,424
472,452,568,480
100,510,145,553
199,511,244,554
300,511,347,554
474,517,503,575
