0
0
691,497,737,497
737,569,691,569
749,599,749,478
749,455,749,374
749,374,749,327
749,327,749,262
749,262,749,193
780,80,679,80
631,119,205,119
716,479,605,479
717,438,604,438
718,399,603,399
718,361,602,361
718,329,602,329
718,286,639,286
602,286,602,245
717,217,601,217
536,361,536,191
471,361,471,191
405,480,405,191
338,480,338,191
271,480,271,192
205,480,205,192
138,480,138,192
72,480,72,192
56,522,56,589
38,193,38,476
38,3,38,193
176,35,1,35
79,167,79,64
570,424,472,424
568,480,472,480
145,553,100,553
244,554,199,554
347,554,300,554
474,575,474,517
